Category,Amount,Type,Size,Total
Friend,3253,Female victims,0.242509636,143345
Family,2994,Female victims,0.223201306,143345
Neighbor,1632,Female victims,0.12166484,143345
Father,256,Female victims,0.019084681,143345
In-Law,857,Female victims,0.063888951,143345
Son,657,Female victims,0.048979044,143345
Ex-Wife,1852,Female victims,0.138065738,143345
Boyfriend,71,Female victims,0.005293017,143345
Mother,3912,Female victims,0.291637779,143345
Common-Law Husband,13,Female victims,0.000969144,143345
Common-Law Wife,2428,Female victims,0.18100627,143345
Stepfather,43,Female victims,0.00320563,143345
Stepson,68,Female victims,0.005069368,143345
Stepmother,180,Female victims,0.013418916,143345
Daughter,7139,Female victims,0.532209126,143345
Boyfriend/Girlfriend,197,Female victims,0.014686258,143345
Employer,115,Female victims,0.008573196,143345
Employee,80,Female victims,0.005963963,143345
Blunt Object,42249,Male victims,3.14964328,494125
Strangulation,2555,Male victims,0.19047406,494125
Unknown weapon,20126,Male victims,1.50038393,494125
Rifle,18217,Male victims,1.358068869,494125
Knife,69441,Male victims,5.176794221,494125
Firearm,40340,Male victims,3.007328219,494125
Shotgun,23764,Male victims,1.771595136,494125
Fall,118,Male victims,0.008796845,494125
Handgun,268278,Male victims,20,494125
Drowning,627,Male victims,0.046742558,494125
Suffocation,1685,Male victims,0.125615966,494125
Explosives,318,Male victims,0.023706752,494125
Fire,3447,Male victims,0.256972245,494125
Drugs,895,Male victims,0.066721833,494125
Gun,1821,Male victims,0.135754702,494125
Poison,244,Male victims,0.018190086,494125
Acquaintance,107090,Male victims,7.983509643,494125
Unknown,226223,Male victims,16.86481933,494125
Wife,616,Male victims,0.045922513,494125
Stranger,84658,Male victims,6.311214486,494125
Girlfriend,333,Male victims,0.024824995,494125
Ex-Husband,607,Male victims,0.045251567,494125
Brother,5383,Male victims,0.401300144,494125
Stepdaughter,33,Male victims,0.002460135,494125
Husband,8706,Male victims,0.649028247,494125
Sister,85,Male victims,0.00633671,494125
Friend,18684,Male victims,1.392883501,494125
Family,6532,Male victims,0.486957559,494125
Neighbor,4659,Male victims,0.347326281,494125
Father,4105,Male victims,0.306025839,494125
In-Law,2779,Male victims,0.207173156,494125
Son,9247,Male victims,0.689359545,494125
Ex-Wife,121,Male victims,0.009020494,494125
Boyfriend,7231,Male victims,0.539067684,494125
Mother,333,Male victims,0.024824995,494125
Common-Law Husband,1941,Male victims,0.144700646,494125
Common-Law Wife,49,Male victims,0.003652927,494125
Stepfather,1317,Male victims,0.098181737,494125
Stepson,1101,Male victims,0.082079037,494125
Stepmother,31,Male victims,0.002311036,494125
Daughter,379,Male victims,0.028254274,494125
Boyfriend/Girlfriend,1185,Male victims,0.088341198,494125
Employer,394,Male victims,0.029372517,494125
Employee,303,Male victims,0.022588509,494125
Blunt Object,5722,Female perpetrators,0.426572436,48548
Strangulation,390,Female perpetrators,0.029074318,48548
Unknown weapon,3683,Female perpetrators,0.274565935,48548
Rifle,1450,Female perpetrators,0.108096825,48548
Knife,13748,Female perpetrators,1.024906999,48548
Firearm,1287,Female perpetrators,0.095945251,48548
Shotgun,1733,Female perpetrators,0.129194343,48548
Fall,29,Female perpetrators,0.002161936,48548
Handgun,17107,Female perpetrators,1.275318886,48548
Drowning,507,Female perpetrators,0.037796614,48548
Suffocation,1051,Female perpetrators,0.078351561,48548
Explosives,33,Female perpetrators,0.002460135,48548
Fire,1000,Female perpetrators,0.074549534,48548
Drugs,569,Female perpetrators,0.042418685,48548
Gun,84,Female perpetrators,0.006262161,48548
Poison,155,Female perpetrators,0.011555178,48548
Acquaintance,8726,Female perpetrators,0.650519238,48548
Unknown,4995,Female perpetrators,0.372374925,48548
Wife,85,Female perpetrators,0.00633671,48548
Stranger,2812,Female perpetrators,0.209633291,48548
Girlfriend,98,Female perpetrators,0.007305854,48548
Ex-Husband,589,Female perpetrators,0.043909676,48548
Brother,480,Female perpetrators,0.035783777,48548
Stepdaughter,61,Female perpetrators,0.004547522,48548
Husband,8614,Female perpetrators,0.64216969,48548
Sister,251,Female perpetrators,0.018711933,48548
Friend,1683,Female perpetrators,0.125466866,48548
Family,1260,Female perpetrators,0.093932413,48548
Neighbor,484,Female perpetrators,0.036081975,48548
Father,473,Female perpetrators,0.03526193,48548
In-Law,294,Female perpetrators,0.021917563,48548
Son,3859,Female perpetrators,0.287686653,48548
Ex-Wife,5,Female perpetrators,0.000372748,48548
Boyfriend,7043,Female perpetrators,0.525052371,48548
Mother,687,Female perpetrators,0.05121553,48548
Common-Law Husband,1891,Female perpetrators,0.14097317,48548
Common-Law Wife,19,Female perpetrators,0.001416441,48548
Stepfather,181,Female perpetrators,0.013493466,48548
Stepson,68,Female perpetrators,0.005069368,48548
Stepmother,25,Female perpetrators,0.001863738,48548
Daughter,3603,Female perpetrators,0.268601973,48548
Boyfriend/Girlfriend,196,Female perpetrators,0.014611709,48548
Employer,33,Female perpetrators,0.002460135,48548
Employee,33,Female perpetrators,0.002460135,48548
Blunt Object,45782,Male perpetrators,3.413026786,399541
Strangulation,4019,Male perpetrators,0.299614579,399541
Unknown weapon,14722,Male perpetrators,1.097518246,399541
Rifle,18486,Male perpetrators,1.378122694,399541
Knife,61015,Male perpetrators,4.548639844,399541
Firearm,23103,Male perpetrators,1.722317894,399541
Shotgun,24307,Male perpetrators,1.812075534,399541
Fall,137,Male perpetrators,0.010213286,399541
Handgun,199776,Male perpetrators,14.89320779,399541
Drowning,492,Male perpetrators,0.036678371,399541
Suffocation,1927,Male perpetrators,0.143656953,399541
Explosives,355,Male perpetrators,0.026465085,399541
Fire,3132,Male perpetrators,0.233489142,399541
Drugs,827,Male perpetrators,0.061652465,399541
Gun,1240,Male perpetrators,0.092441423,399541
Poison,221,Male perpetrators,0.016475447,399541
Acquaintance,115126,Male perpetrators,8.582589702,399541
Unknown,89812,Male perpetrators,6.695442787,399541
Wife,23058,Male perpetrators,1.718963165,399541
Stranger,84550,Male perpetrators,6.303163137,399541
Girlfriend,16315,Male perpetrators,1.216275654,399541
Ex-Husband,37,Male perpetrators,0.002758333,399541
Brother,5016,Male perpetrators,0.373940465,399541
Stepdaughter,693,Male perpetrators,0.051662827,399541
Husband,164,Male perpetrators,0.012226124,399541
Sister,1037,Male perpetrators,0.077307867,399541
Friend,20035,Male perpetrators,1.493599922,399541
Family,8207,Male perpetrators,0.611828029,399541
Neighbor,5774,Male perpetrators,0.430449012,399541
Father,3880,Male perpetrators,0.289252194,399541
In-Law,3334,Male perpetrators,0.248548148,399541
Son,5983,Male perpetrators,0.446029865,399541
Ex-Wife,1961,Male perpetrators,0.146191637,399541
Boyfriend,245,Male perpetrators,0.018264636,399541
Mother,3551,Male perpetrators,0.264725397,399541
Common-Law Husband,56,Male perpetrators,0.004174774,399541
Common-Law Wife,2451,Male perpetrators,0.182720909,399541
Stepfather,1177,Male perpetrators,0.087744802,399541
Stepson,1101,Male perpetrators,0.082079037,399541
Stepmother,186,Male perpetrators,0.013866213,399541
Daughter,3884,Male perpetrators,0.289550392,399541
Boyfriend/Girlfriend,1085,Male perpetrators,0.080886245,399541
Employer,476,Male perpetrators,0.035485578,399541
Employee,347,Male perpetrators,0.025868688,399541
